"episode","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MAX"
"305","609","609","609","-686.4127841889222","-1413.5150302214538","-156.8513189001253"
"306","611","611","611","-617.0931794067676","-1606.2906176955255","-211.55922339556875"
"307","613","613","613","-954.0547989002689","-2510.94952462038","-183.92644120396335"
"308","615","615","615","-1508.3209830011997","-3650.710618048367","-164.77007173754075"
"309","617","617","617","-1311.6860723039947","-3306.04333712764","-213.05406091679254"
"310","619","619","619","-1838.4549548127288","-3223.8374957091273","-590.4970540735759"
"311","621","621","621","-1776.9542827064186","-4851.627605201983","-175.53290118005287"
"312","623","623","623","-1479.6388287215636","-3397.082442186915","-163.98306500940964"
"313","625","625","625","-1460.804751455856","-3287.4052483731457","-164.5062883139122"
"314","627","627","627","-1610.6453920679173","-4248.502431012271","-118.49637943813566"
"315","629","629","629","-1754.5213541956116","-5161.489904653967","-341.5539890199927"
"316","631","631","631","-1602.8215013086924","-5320.800963632377","-281.3760837252773"
"317","633","633","633","-1865.48604228984","-5099.85831173164","-626.8096650866618"
"318","635","635","635","-2049.766711309903","-5895.577951300893","-614.80905915433"
"319","637","637","637","-1445.865201328766","-3722.9006632554597","-440.5113035149715"
"320","639","639","639","-879.4783727712278","-1524.2482742441941","-380.7743795944375"
"321","641","641","641","-1617.7560638948744","-4806.959910972295","-406.34116329264646"
"322","643","643","643","-1455.2120228317278","-4130.966501394184","-413.29381350407454"
"323","645","645","645","-1010.4417291643819","-3198.473360011232","-235.69317347649695"
"324","647","647","647","-1731.9619056002853","-6077.798602172054","-209.25097802039994"
"325","649","649","649","-1701.4190936985046","-5772.469569730131","-245.83739413876867"
"326","651","651","651","-1800.3008004493763","-3401.5607346623533","-151.63813875482137"
"327","653","653","653","-1628.8618481825986","-5655.571490490514","-325.98381443644337"
"328","655","655","655","-1706.38791835873","-4954.779717273134","-245.45750175918218"
"329","657","657","657","-1692.9781713615794","-3646.1932787247506","-299.75953723766537"
"330","659","659","659","-1438.7912639195729","-2686.3679584961824","-446.96275033399644"
"331","661","661","661","-1452.3939132287808","-2446.4426184689046","-503.46787297118857"
"332","663","663","663","-1554.9212056354354","-3283.1792685796086","-685.4979611315258"
"333","665","665","665","-1455.8389240532242","-2790.040283851564","-853.6650733732453"
"334","667","667","667","-1443.627788800131","-2894.065681004404","-773.6310454135208"
"335","669","669","669","-1041.343122393224","-1405.684468883267","-701.8552291883309"
